software;mouseReMoCo;;;screenHeight 995;centerX 953;centerY 497;autoStart 3600;cycleMaxNumber 6;cycleDuration 20;borderColor java.awt.Color[r=255,g=255,b=255];textColor java.awt.Color[r=255,g=255,b=255];backgroundColor java.awt.Color[r=0,g=0,b=0];cursorColorRecord java.awt.Color[r=255,g=0,b=0];cursorColorWait java.awt.Color[r=255,g=255,b=0];task circular;cornerX 536;cornerY 80;externalRadius 417;internalRadius 337;borderRadius 1;cursorRadius 16;indexOfDifficulty 50.33232485432158;taskRadius 376.5;taskTolerance 47
01/12/2025;16:16:42.378;100;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
timestamp;mouseX;mouseY;mouseInTarget;;;;;;;;;;;;;;;;;;;;;
1764602206488;1204;220;1;;;;;;;;;;;;;;;;;;;;;
1764602206496;1201;216;1;;;;;;;;;;;;;;;;;;;;;
1764602206503;1196;211;1;;;;;;;;;;;;;;;;;;;;;
1764602206511;1192;206;1;;;;;;;;;;;;;;;;;;;;;
1764602206516;1188;204;1;;;;;;;;;;;;;;;;;;;;;
1764602206524;1183;199;1;;;;;;;;;;;;;;;;;;;;;
1764602206531;1180;196;1;;;;;;;;;;;;;;;;;;;;;
1764602206538;1177;194;1;;;;;;;;;;;;;;;;;;;;;
1764602206545;1172;191;1;;;;;;;;;;;;;;;;;;;;;
1764602206552;1168;188;1;;;;;;;;;;;;;;;;;;;;;
1764602206559;1165;187;1;;;;;;;;;;;;;;;;;;;;;
1764602206573;1159;184;1;;;;;;;;;;;;;;;;;;;;;
1764602206581;1154;181;1;;;;;;;;;;;;;;;;;;;;;
1764602206588;1150;177;1;;;;;;;;;;;;;;;;;;;;;
1764602206594;1145;174;1;;;;;;;;;;;;;;;;;;;;;
1764602206602;1139;171;1;;;;;;;;;;;;;;;;;;;;;
1764602206609;1134;168;1;;;;;;;;;;;;;;;;;;;;;
1764602206616;1129;166;1;;;;;;;;;;;;;;;;;;;;;
1764602206623;1122;163;1;;;;;;;;;;;;;;;;;;;;;
1764602206631;1117;162;1;;;;;;;;;;;;;;;;;;;;;
1764602206637;1110;160;1;;;;;;;;;;;;;;;;;;;;;
1764602206644;1103;157;1;;;;;;;;;;;;;;;;;;;;;
1764602206653;1097;155;1;;;;;;;;;;;;;;;;;;;;;
1764602206658;1091;154;1;;;;;;;;;;;;;;;;;;;;;
1764602206667;1084;152;1;;;;;;;;;;;;;;;;;;;;;
1764602206679;1076;152;1;;;;;;;;;;;;;;;;;;;;;
1764602206687;1070;151;1;;;;;;;;;;;;;;;;;;;;;
1764602206695;1063;151;1;;;;;;;;;;;;;;;;;;;;;
1764602206702;1056;151;1;;;;;;;;;;;;;;;;;;;;;
1764602206708;1050;150;1;;;;;;;;;;;;;;;;;;;;;
1764602206714;1045;150;1;;;;;;;;;;;;;;;;;;;;;
1764602206721;1042;150;1;;;;;;;;;;;;;;;;;;;;;
1764602206729;1039;150;1;;;;;;;;;;;;;;;;;;;;;
1764602207048;1033;148;1;;;;;;;;;;;;;;;;;;;;;
1764602207056;1027;146;1;;;;;;;;;;;;;;;;;;;;;
1764602207063;1021;143;1;;;;;;;;;;;;;;;;;;;;;
1764602207068;1016;141;1;;;;;;;;;;;;;;;;;;;;;
1764602207076;1011;138;1;;;;;;;;;;;;;;;;;;;;;
1764602207083;1006;136;1;;;;;;;;;;;;;;;;;;;;;
1764602207091;1003;135;1;;;;;;;;;;;;;;;;;;;;;
1764602207099;999;135;1;;;;;;;;;;;;;;;;;;;;;
1764602207105;995;133;1;;;;;;;;;;;;;;;;;;;;;
1764602207112;991;132;1;;;;;;;;;;;;;;;;;;;;;
1764602207120;988;131;1;;;;;;;;;;;;;;;;;;;;;
1764602207126;984;130;1;;;;;;;;;;;;;;;;;;;;;
1764602207133;980;129;1;;;;;;;;;;;;;;;;;;;;;
1764602207141;977;129;1;;;;;;;;;;;;;;;;;;;;;
1764602207147;972;129;1;;;;;;;;;;;;;;;;;;;;;
1764602207154;968;128;1;;;;;;;;;;;;;;;;;;;;;
1764602207161;963;128;1;;;;;;;;;;;;;;;;;;;;;
1764602207169;957;128;1;;;;;;;;;;;;;;;;;;;;;
1764602207176;952;128;1;;;;;;;;;;;;;;;;;;;;;
1764602207183;946;128;1;;;;;;;;;;;;;;;;;;;;;
1764602207191;941;127;1;;;;;;;;;;;;;;;;;;;;;
1764602207197;934;127;1;;;;;;;;;;;;;;;;;;;;;
1764602207204;927;126;1;;;;;;;;;;;;;;;;;;;;;
1764602207211;921;123;1;;;;;;;;;;;;;;;;;;;;;
1764602207217;914;122;1;;;;;;;;;;;;;;;;;;;;;
1764602207581;912;122;1;;;;;;;;;;;;;;;;;;;;;
1764602207588;909;122;1;;;;;;;;;;;;;;;;;;;;;
1764602207596;906;122;1;;;;;;;;;;;;;;;;;;;;;
1764602207603;904;122;1;;;;;;;;;;;;;;;;;;;;;
1764602207608;902;122;1;;;;;;;;;;;;;;;;;;;;;
1764602207616;901;122;1;;;;;;;;;;;;;;;;;;;;;
1764602207625;898;122;1;;;;;;;;;;;;;;;;;;;;;
1764602207631;896;123;1;;;;;;;;;;;;;;;;;;;;;
1764602207638;895;123;1;;;;;;;;;;;;;;;;;;;;;
1764602207644;893;124;1;;;;;;;;;;;;;;;;;;;;;
1764602207652;891;124;1;;;;;;;;;;;;;;;;;;;;;
